ImageNumber,ObjectNumber,Intensity_IntegratedIntensityEdge_Cells,Intensity_IntegratedIntensity_Cells,Intensity_LowerQuartileIntensity_Cells,Intensity_MADIntensity_Cells,Intensity_MassDisplacement_Cells,Intensity_MaxIntensityEdge_Cells,Intensity_MaxIntensity_Cells,Intensity_MeanIntensityEdge_Cells,Intensity_MeanIntensity_Cells,Intensity_MedianIntensity_Cells,Intensity_MinIntensityEdge_Cells,Intensity_MinIntensity_Cells,Intensity_StdIntensityEdge_Cells,Intensity_StdIntensity_Cells,Intensity_UpperQuartileIntensity_Cells,Location_CenterMassIntensity_X_Cells,Location_CenterMassIntensity_Y_Cells,Location_CenterMassIntensity_Z_Cells,Location_Center_X,Location_Center_Y,Location_Center_Z,Location_MaxIntensity_X_Cells,Location_MaxIntensity_Y_Cells,Location_MaxIntensity_Z_Cells,Number_Object_Number
1,1,0.8439154829829931,16.782345560844988,0.006546120624989271,0.0011444268748164177,1.455992434201805,0.006240940187126398,0.011367971077561378,0.005274471768643707,0.00769479392977762,0.007751583121716976,0.004669260699301958,0.004669260699301958,0.0003391139167295693,0.0014360609929690083,0.00883497390896082,446.4575093645006,34.242504520951705,0.0,445.08436497019716,33.758367721228794,0,449.0,40.0,0.0,1
1,2,0.4917067331261933,5.104493874590844,0.005752651486545801,0.0006713969632983208,0.47000758162472683,0.006027313880622387,0.008804455399513245,0.005230922692831844,0.006469573985539726,0.006469825282692909,0.004654001910239458,0.004654001910239458,0.0002515428270297521,0.0008710742468216711,0.007080186158418655,128.34446960191474,28.885386051742696,0.0,128.7528517110266,28.65272496831432,0,128.0,27.0,0.0,2
1,3,0.39591059274971485,4.360189273953438,0.006649118848145008,0.0009765778668224812,0.12157328257733538,0.006225680932402611,0.010391393676400185,0.005278807903329532,0.007582937867745109,0.0077821011655032635,0.00428778538480401,0.00428778538480401,0.00044316636416198994,0.001313753174637043,0.00860608834773302,573.618215542922,53.09794397531947,0.0,573.7026086956522,53.0104347826087,0,572.0,53.0,0.0,3
1,4,0.43874266603961587,5.796093764249235,0.006919966544955969,0.0017547872848808765,0.5181344317655128,0.006378271151334047,0.014114595018327236,0.005223126976662094,0.008650886215297367,0.008667124435305595,0.004333562217652798,0.004333562217652798,0.0004697059213472446,0.002198665380138672,0.01041428279131651,144.18772294515674,66.73179726464767,0.0,143.89253731343283,66.30597014925372,0,145.0,70.0,0.0,4
1,5,0.4458686294965446,5.839246283750981,0.00712596345692873,0.001464866567403078,0.18707326008170708,0.006439307238906622,0.012527656741440296,0.005124926775822352,0.00857451730359909,0.008880751207470894,0.004180971998721361,0.004180971998721361,0.0004787248639242839,0.001976198844558594,0.01016250904649496,304.02048997724694,62.658754818631756,0.0,303.9647577092511,62.480176211453745,0,307.0,60.0,0.0,5
1,6,0.41477074287831783,5.65540557494387,0.007507438771426678,0.001129167154431343,0.141231519754256,0.006408789195120335,0.011566339060664177,0.005058179791198998,0.008491599962378183,0.008880751207470894,0.004242008086293936,0.004242008086293936,0.0004963989212001033,0.0017744080121883275,0.009826810099184513,346.60106791818924,70.4211565831349,0.0,346.466966966967,70.46546546546547,0,345.0,73.0,0.0,6
1,7,0.52785535575822,6.496055650990456,0.006149386055767536,0.0005951020866632462,0.08866318842675519,0.006240940187126398,0.008773937821388245,0.00533187228038606,0.0067386469408614695,0.00679026497527957,0.004562447778880596,0.004562447778880596,0.00033054521096852896,0.0008469277205919893,0.007324330508708954,89.67525527025376,84.57191480255194,0.0,89.66078838174273,84.4844398340249,0,91.0,86.0,0.0,7
1,8,0.4104066635482013,5.358220865018666,0.007431143894791603,0.0012512397952377796,0.10123777348354526,0.006363012362271547,0.0120088504627347,0.005195021057572169,0.00851863412562586,0.008751049172133207,0.004333562217652798,0.004333562217652798,0.000546639824636623,0.001813124590444286,0.009933623485267162,213.0526838825904,96.75339383652157,0.0,213.12718600953895,96.82193958664547,0,210.0,100.0,0.0,8
1,9,0.5297322170808911,5.715617703739554,0.006744487676769495,0.0012207217514514923,0.18720379738934845,0.006515602581202984,0.011612115427851677,0.005297322170808911,0.007916368010719604,0.008087282069027424,0.00430304417386651,0.00430304417386651,0.0005432671338837426,0.0016065440745760627,0.009216449223458767,577.8433149336697,99.3624527061949,0.0,578.0290858725762,99.3393351800554,0,581.0,93.0,0.0,9
1,10,0.5722896293736994,11.205340799875557,0.008087282069027424,0.0016403449699282646,0.13547450096124972,0.006622415501624346,0.016510261222720146,0.0051557624267900845,0.0097184222028409,0.009811551310122013,0.004226749297231436,0.004226749297231436,0.0005844468836695644,0.002543828133044648,0.011352712288498878,450.0689488034795,104.55625172153285,0.0,449.96183868169993,104.63920208152645,0,450.0,109.0,0.0,10
1,11,0.5036240289919078,7.925124091561884,0.0076752882450819016,0.0010528722777962685,0.13284175937739826,0.006408789195120335,0.011596856638789177,0.005192000298885648,0.008623638837390516,0.009071488864719868,0.004272526130080223,0.004272526130080223,0.0004995215414669936,0.0016673936604350197,0.009903104975819588,351.0849273991319,113.40178445039344,0.0,351.03808487486396,113.27747551686616,0,358.0,115.0,0.0,11
1,12,0.45415427908301353,5.739025037270039,0.007309071719646454,0.0007171737961471081,0.24936295716402468,0.006393530406057835,0.0117494473233819,0.00522016412739096,0.007926830161975193,0.008133058436214924,0.00428778538480401,0.00428778538480401,0.0005653158820174284,0.0013744791793874494,0.008758679032325745,533.6605221370799,118.52229817010007,0.0,533.4530386740331,118.38397790055248,0,538.0,118.0,0.0,12
1,13,0.4247196251526475,5.527855419088155,0.007019150070846081,0.0017395289614796638,0.18158278652354118,0.006469825282692909,0.013290608301758766,0.005179507623812775,0.008691596570893325,0.00869764294475317,0.004180971998721361,0.004180971998721361,0.000518445939804664,0.00214668931465378,0.010513465851545334,597.4365745836274,124.51048947405523,0.0,597.5801886792453,124.3993710691824,0,600.0,129.0,0.0,13
1,14,0.4836652264930308,5.913542452268302,0.007232776377350092,0.001907377503812313,0.4421157693857939,0.006286717019975185,0.01425192691385746,0.005200701360140116,0.009211125315059661,0.00961318425834179,0.0041046771220862865,0.0041046771220862865,0.00047961108742140157,0.0024764610363275387,0.01120012253522873,250.56317992191157,131.85709237143874,0.0,250.85046728971963,132.1931464174455,0,247.0,129.0,0.0,14
1,15,0.4934004829265177,6.147966822609305,0.006713969632983208,0.0014648661017417908,0.16437961919751085,0.00634775310754776,0.012115663848817348,0.005193689293963345,0.008132231246837705,0.008209354244172573,0.004242008086293936,0.004242008086293936,0.0004588458215031472,0.0018137353861513504,0.00962844304740429,80.88546736204158,129.59883297842424,0.0,80.91137566137566,129.43650793650792,0,80.0,133.0,0.0,15
1,16,0.4504310768097639,6.676524068694562,0.0077821011655032635,0.0017624171450734138,0.087166264568607,0.00679026497527957,0.014572366140782833,0.005118534963747317,0.009470246905949734,0.009712367318570614,0.004272526130080223,0.004272526130080223,0.0005693478845012458,0.002487616428172004,0.011413748376071453,171.19073423776106,150.37647470735507,0.0,171.12765957446808,150.3163120567376,0,174.0,151.0,0.0,16
1,17,0.4731975384056568,6.108995276968926,0.007064927369356155,0.00080109853297472,0.16953214200441488,0.0064850845374166965,0.010666056536138058,0.005199972949512712,0.007802037390764912,0.0080491341650486,0.004364080261439085,0.004364080261439085,0.0005128484550187615,0.0013361785908352348,0.00876249372959137,396.6084505438033,147.5870894017934,0.0,396.4891443167305,147.70753512132822,0,399.0,138.0,0.0,17
1,18,0.5874265800230205,11.427588472142816,0.007396811037324369,0.0014572364743798971,0.3066355910771239,0.0061036087572574615,0.013000686652958393,0.005198465309938234,0.008770213716149514,0.00885786209255457,0.004135195165872574,0.004135195165872574,0.0004806683395402086,0.001926976264938833,0.01029221061617136,459.8037646815449,162.26566049119128,0.0,459.7782041442824,161.960092095165,0,461.0,168.0,0.0,18
1,19,0.44724194146692753,6.438880067784339,0.0074235142674297094,0.0011444268748164177,0.30796749009390983,0.006149386055767536,0.012466620653867722,0.005200487691475902,0.00867773594041016,0.009201190434396267,0.004180971998721361,0.004180971998721361,0.0004983023834460299,0.001802539043155331,0.010109102353453636,548.0509038499283,181.91566974990036,0.0,548.0592991913746,181.6078167115903,0,554.0,180.0,0.0,19
1,20,0.4947432791814208,6.305027931928635,0.007396810920909047,0.0009460593573749065,0.3175377192608654,0.006363012362271547,0.011825742200016975,0.004997406860418392,0.008417927812988831,0.008941787295043468,0.00428778538480401,0.00428778538480401,0.0004782850700293412,0.0017738393059258592,0.009716182015836239,291.73854792423055,191.2031679614763,0.0,291.60614152202936,190.91455273698264,0,295.0,189.0,0.0,20
1,21,0.6582894800230861,10.361303236801177,0.008087282069027424,0.001297016628086567,0.0471326324499229,0.006240940187126398,0.013305867090821266,0.005025110534527375,0.00935135671191442,0.009979400783777237,0.004257267341017723,0.004257267341017723,0.0004813350163978129,0.0022176137201740543,0.011032273061573505,222.50623538567197,188.72071550843322,0.0,222.54783393501805,188.6985559566787,0,221.0,184.0,0.0,21
1,22,0.5949187609367073,11.692698704078794,0.008392462506890297,0.0011596856638789177,0.3502101923397681,0.006393530406057835,0.013672083616256714,0.0049576563411392275,0.009429595729095802,0.009948882274329662,0.004165713209658861,0.004165713209658861,0.00045546072843377227,0.0021277784933074104,0.010925459675490856,321.95481553479846,192.59193951752457,0.0,322.18709677419355,192.8540322580645,0,311.0,182.0,0.0,22
1,23,0.662211041431874,10.769802489783615,0.010299839777871966,0.0026092929765582085,0.6912114589139651,0.017898833379149437,0.021271076053380966,0.0071205488326007964,0.013279657817242435,0.014549477491527796,0.0042114900425076485,0.0042114900425076485,0.004328281843464564,0.004273781274517637,0.016540780663490295,598.6455478092868,212.46128571837335,0.0,597.9543773119606,212.4537607891492,0,607.0,214.0,0.0,23
1,24,0.6895552100613713,10.002960352692753,0.009735256433486938,0.0011902032420039177,0.2555940696644378,0.016174564138054848,0.016174564138054848,0.006567192476774965,0.010779052104194777,0.011535820551216602,0.004089417867362499,0.004089417867362499,0.003405588920525388,0.002614220663539895,0.012466620653867722,626.2652896061539,212.92505461303438,0.0,626.5193965517242,212.95258620689654,0,611.0,209.0,0.0,24
1,25,0.5021591642871499,5.973662996664643,0.007236591191031039,0.0013656821101903915,0.1302025849223798,0.0065766386687755585,0.01266498863697052,0.005176898600898453,0.008620004324191405,0.008979934267699718,0.0042114900425076485,0.0042114900425076485,0.0005428788832360978,0.0019809372006488195,0.010097658028826118,259.24164206297326,216.67073241157317,0.0,259.1168831168831,216.63347763347764,0,262.0,224.0,0.0,25
1,26,0.4995193537324667,10.372793276328593,0.008659495040774345,0.0023498889058828354,0.4302137246906715,0.006393530406057835,0.017105363309383392,0.004995193537324667,0.010930235275372596,0.011474784463644028,0.004165713209658861,0.004165713209658861,0.0004862412224961699,0.0032234917441070344,0.01361104752868414,515.3329969596203,222.76145257414322,0.0,515.722866174921,222.5795574288725,0,513.0,225.0,0.0,26
1,27,0.6017700610682368,11.191119366325438,0.007930876687169075,0.0020447089336812496,0.46089889354056196,0.006561379414051771,0.0160830095410347,0.005056891269480982,0.009860017062841796,0.010017547756433487,0.0041962312534451485,0.0041962312534451485,0.0004679260845036658,0.0026892295933361537,0.0120088504627347,376.5921421861055,224.46050641486246,0.0,377.04229074889867,224.55947136563876,0,375.0,225.0,0.0,27
1,28,0.632501732558012,10.449698755517602,0.008537422865629196,0.0017395289614796638,0.14459738512971845,0.006363012362271547,0.0158388651907444,0.005060013860464096,0.01018489157457856,0.010757610201835632,0.004333562217652798,0.004333562217652798,0.00043237896638916544,0.0027669186757888526,0.012298772111535072,182.21514381029448,241.83643315673348,0.0,182.32553606237818,241.9298245614035,0,182.0,239.0,0.0,28
1,29,0.4712749011814594,10.447379366494715,0.009590295143425465,0.001937895081937313,0.3087800360644571,0.006256198976188898,0.017120622098445892,0.004808927563076116,0.011331214063443291,0.012115663848817348,0.004089417867362499,0.004089417867362499,0.00048455871094789865,0.0032711742964261457,0.013839933089911938,646.9150363122426,260.72251555615196,0.0,647.0412147505423,261.00433839479393,0,643.0,254.0,0.0,29
1,30,0.3682154663838446,5.510582183487713,0.0079346913844347,0.002998397685587406,0.20517523201138624,0.006378271151334047,0.020202945917844772,0.004975884680862765,0.011043250868712853,0.011360341683030128,0.004257267341017723,0.004257267341017723,0.0005130935998940802,0.00393655933448335,0.01422522310167551,481.4667909055494,276.4036484853897,0.0,481.59118236472943,276.2404809619238,0,479.0,279.0,0.0,30
1,31,0.5543755362741649,4.809796368237585,0.006958113983273506,0.001068131998181343,0.44385782171908655,0.0161287859082222,0.0161287859082222,0.006522065132637234,0.008043137739527733,0.008087282069027424,0.004333562217652798,0.004333562217652798,0.002934703443146259,0.0018235141518887614,0.009124895557761192,594.6687446545092,273.49559022111765,0.0,595.0367892976589,273.24749163879596,0,585.0,279.0,0.0,31
1,32,0.42908370308578014,4.796871931757778,0.008052948862314224,0.004867627751082182,0.4195987703727942,0.01751735806465149,0.03378347307443619,0.007272605137047121,0.01449206021679087,0.014023041352629662,0.004257267341017723,0.004257267341017723,0.004263534054122498,0.007592500579568722,0.017734797671437263,577.7084198855983,282.32047345550905,0.0,577.4924471299094,281.9607250755287,0,579.0,285.0,0.0,32
1,33,0.43823911948129535,6.112581149674952,0.00752651272341609,0.0009613186120986938,0.16465108235628947,0.0061951628886163235,0.012176699936389923,0.005095803714898783,0.008477921150728089,0.008896009996533394,0.00430304417386651,0.00430304417386651,0.0005246546007546175,0.0016952474855430652,0.009624628350138664,310.8691773223513,282.4968721012222,0.0,310.9528432732316,282.35506241331484,0,310.0,284.0,0.0,33
1,34,0.5554894455708563,11.244312334340066,0.008133058436214924,0.0021591512486338615,0.5709630185209628,0.006149386055767536,0.016357671469449997,0.004959727192596931,0.010157463716657692,0.010498207062482834,0.0041046771220862865,0.0041046771220862865,0.0004721099338040547,0.0028556283778257106,0.012527656741440296,424.1040798163027,283.0113611607559,0.0,423.98193315266485,283.5691056910569,0,424.0,274.0,0.0,34
